Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
23,Sat,03/02/2024,12:30,Everton,2.6,2–2,1,Tottenham,"39,321",Goodison Park,Michael Oliver,Match Report,
23,Sat,03/02/2024,15:00,Newcastle Utd,2.3,4–4,2.4,Luton Town,"52,211",St James' Park,Thomas Bramall,Match Report,
23,Sat,03/02/2024,15:00,Brighton,1.4,4–1,0.3,Crystal Palace,"31,345",The American Express Community Stadium,Simon Hooper,Match Report,
23,Sat,03/02/2024,15:00,Burnley,1.8,2–2,1.5,Fulham,"20,203",Turf Moor,Darren Bond,Match Report,
23,Sat,03/02/2024,17:30,Sheffield Utd,1.4,0–5,2.2,Aston Villa,"30,187",Bramall Lane,Paul Tierney,Match Report,
23,Sun,04/02/2024,14:00,Bournemouth,1.3,1–1,0.5,Nott'ham Forest,"11,200",Vitality Stadium,Rebecca Welch,Match Report,
23,Sun,04/02/2024,14:00,Manchester Utd,0.7,3–0,1.4,West Ham,"73,612",Old Trafford,Andy Madley,Match Report,
23,Sun,04/02/2024,14:00,Chelsea,1.7,2–4,2,Wolves,"39,628",Stamford Bridge,Tim Robinson,Match Report,
23,Sun,04/02/2024,16:30,Arsenal,3.5,3–1,0.4,Liverpool,"60,374",Emirates Stadium,Anthony Taylor,Match Report,
23,Mon,05/02/2024,20:00,Brentford,1,1–3,2.1,Manchester City,"17,096",Gtech Community Stadium,Jarred Gillett,Match Report,
