Season,Matchweek,Start Date,End Date
2022/23,37,19/05/2023,25/05/2023
2022/23,38,26/05/2023,01/06/2023
2023/24,1,11/08/2023,17/08/2023
2023/24,2,18/08/2023,24/08/2023
2023/24,3,25/08/2023,31/08/2023
2023/24,4,01/09/2023,07/09/2023
2023/24,5,15/09/2023,21/09/2023
2023/24,6,22/09/2023,28/09/2023
2023/24,7,29/09/2023,05/10/2023
2023/24,8,06/10/2023,12/10/2023
2023/24,9,20/10/2023,26/10/2023
2023/24,10,27/10/2023,02/11/2023
2023/24,11,03/11/2023,09/11/2023
2023/24,12,10/11/2023,16/11/2023
2023/24,13,24/11/2023,30/11/2023
2023/24,14,01/12/2023,04/12/2023
2023/24,15,05/12/2023,07/12/2023
2023/24,16,08/12/2023,14/12/2023
2023/24,17,15/12/2023,20/12/2023
2023/24,18,21/12/2023,25/12/2023
2023/24,19,26/12/2023,28/12/2023
2023/24,20,29/12/2023,04/01/2024
2023/24,21,12/01/2024,22/01/2024
2023/24,22,23/01/2024,01/02/2024
2023/24,23,02/02/2024,08/02/2024
2023/24,24,09/02/2024,15/02/2024
2023/24,25,16/02/2024,20/02/2024
2023/24,26,21/02/2024,29/02/2024
2023/24,27,01/03/2024,07/03/2024
2023/24,28,08/03/2024,14/03/2024
2023/24,29,15/03/2024,21/03/2024
2023/24,30,29/03/2024,31/03/2024
2023/24,31,01/04/2024,04/04/2024
2023/24,32,05/04/2024,11/04/2024
2023/24,33,12/04/2024,18/04/2024
2023/24,34,19/04/2024,25/04/2024
2023/24,35,26/04/2024,02/05/2024
2023/24,36,03/05/2024,09/05/2024
2023/24,37,10/05/2024,16/05/2024
2023/24,38,17/05/2024,24/05/2024
2024/25,1,16/08/2024,22/08/2024
2024/25,2,23/08/2024,29/08/2024
2024/25,3,30/08/2024,06/09/2024
2024/25,4,13/09/2024,19/09/2024
2024/25,5,20/09/2024,26/09/2024
2024/25,6,27/09/2024,03/10/2024
2024/25,7,04/10/2024,10/10/2024
2024/25,8,18/10/2024,24/10/2024
2024/25,9,25/10/2024,31/10/2024
2024/25,10,01/11/2024,07/11/2024
2024/25,11,08/11/2024,14/11/2024
2024/25,12,22/11/2024,28/11/2024
2024/25,13,29/11/2024,02/12/2024
2024/25,14,03/12/2024,05/12/2024
2024/25,15,06/12/2024,12/12/2024
2024/25,16,13/12/2024,19/12/2024
2024/25,17,20/12/2024,25/12/2024
2024/25,18,26/12/2024,28/12/2024
2024/25,19,29/12/2024,02/01/2025
2024/25,20,03/01/2025,09/01/2025
2024/25,21,10/01/2025,16/01/2025
2024/25,22,17/01/2025,23/01/2025
2024/25,23,24/01/2025,30/01/2025
2024/25,24,31/01/2025,13/02/2025
2024/25,25,14/02/2025,20/02/2025
2024/25,26,21/02/2025,23/02/2025
2024/25,27,24/02/2025,30/02/2025
2024/25,28,07/03/2025,13/03/2025
2024/25,29,14/03/2025,20/03/2025
2024/25,30,31/03/2025,03/04/2025
2024/25,31,04/04/2025,10/04/2025
2024/25,32,11/04/2025,17/04/2025
2024/25,33,18/04/2025,21/04/2025
2024/25,34,22/04/2025,01/05/2025
2024/25,35,02/05/2025,08/05/2025
2024/25,36,09/05/2025,15/05/2025
2024/25,37,16/05/2025,22/05/2025
2024/25,38,23/05/2025,26/05/2025
2025/26,1,15/08/2025,21/08/2025
2025/26,2,22/08/2025,28/08/2025
2025/26,3,29/08/2025,04/09/2025
2025/26,4,12/09/2025,18/09/2025
2025/26,5,19/09/2025,25/09/2025
2025/26,6,26/09/2025,02/10/2025
2025/26,7,03/10/2025,09/10/2025
2025/26,8,17/10/2025,23/10/2025
2025/26,9,24/10/2025,30/10/2025
